alg,fitness
Greedy,0.588445
Greedy,0.456653
Greedy,0.442136
Greedy,0.508883
Greedy,0.850486
Greedy,0.525515
Greedy,0.414683
Greedy,0.490943
Greedy,0.405321
Greedy,0.566751
BL,0.197921
BL,0.197721
BL,0.196519
BL,0.194991
BL,0.200852
BL,0.198493
BL,0.200998
BL,0.194344
BL,0.198421
BL,0.198188
ES,0.324038
ES,0.325296
ES,0.325091
ES,0.323129
ES,0.318216
ES,0.324031
ES,0.322684
ES,0.320839
ES,0.324612
ES,0.323532
BMB,0.204563
BMB,0.204262
BMB,0.20487
BMB,0.202112
BMB,0.204057
BMB,0.204258
BMB,0.202046
BMB,0.202776
BMB,0.20495
BMB,0.20093
ILS-BL,0.198695
ILS-BL,0.198231
ILS-BL,0.199489
ILS-BL,0.196294
ILS-BL,0.197665
ILS-BL,0.199125
ILS-BL,0.197088
ILS-BL,0.198728
ILS-BL,0.197307
ILS-BL,0.19665
ILS-ES,0.321225
ILS-ES,0.324646
ILS-ES,0.322517
ILS-ES,0.324446
ILS-ES,0.322303
ILS-ES,0.324397
ILS-ES,0.321775
ILS-ES,0.324458
ILS-ES,0.324263
ILS-ES,0.325287
