alg,fitness
Greedy,1.34704
Greedy,1.49887
Greedy,1.09226
Greedy,1.10579
Greedy,1.21328
Greedy,1.76258
Greedy,1.18489
Greedy,1.0872
Greedy,1.03953
Greedy,1.13746
BL,0.467052
BL,0.466747
BL,0.467513
BL,0.464393
BL,0.466999
BL,0.472551
BL,0.459688
BL,0.465452
BL,0.46319
BL,0.475445
AM-Best,0.463654
AM-Best,0.475848
AM-Best,0.461784
AM-Best,0.473374
AM-Best,0.465945
AM-Best,0.474887
AM-Best,0.46717
AM-Best,0.476025
AM-Best,0.465411
AM-Best,0.469955
ES,0.556749
ES,0.5585
ES,0.556988
ES,0.552328
ES,0.551183
ES,0.558339
ES,0.558414
ES,0.554401
ES,0.556903
ES,0.556326
BMB,0.459804
BMB,0.459953
BMB,0.465248
BMB,0.464393
BMB,0.46701
BMB,0.460667
BMB,0.462786
BMB,0.465629
BMB,0.461481
BMB,0.462618
ILS-BL,0.456603
ILS-BL,0.461692
ILS-BL,0.463692
ILS-BL,0.462927
ILS-BL,0.461539
ILS-BL,0.46192
ILS-BL,0.457878
ILS-BL,0.457252
ILS-BL,0.457553
ILS-BL,0.458982
ILS-ES,0.557988
ILS-ES,0.559427
ILS-ES,0.555673
ILS-ES,0.553858
ILS-ES,0.564527
ILS-ES,0.558567
ILS-ES,0.562739
ILS-ES,0.5524
ILS-ES,0.554142
ILS-ES,0.549696
