alg,fitness
Greedy,1.99821
Greedy,2.13076
Greedy,1.75241
Greedy,1.71766
Greedy,2.17212
Greedy,1.84807
Greedy,1.87706
Greedy,2.1249
Greedy,1.81243
Greedy,2.01842
BL,1.06608
BL,1.04501
BL,1.0954
BL,1.06474
BL,0.986391
BL,1.05308
BL,1.06799
BL,1.04556
BL,1.18352
BL,1.1408
ES,1.1084
ES,1.09464
ES,1.06236
ES,1.08132
ES,1.05855
ES,1.02435
ES,1.04671
ES,1.00142
ES,1.07257
ES,1.06694
BMB,1.04758
BMB,1.04501
BMB,1.02183
BMB,1.06341
BMB,0.975882
BMB,1.05308
BMB,1.06526
BMB,1.02769
BMB,1.05809
BMB,1.04597
ILS-BL,1.01494
ILS-BL,0.994834
ILS-BL,1.02766
ILS-BL,1.00986
ILS-BL,0.986391
ILS-BL,0.979608
ILS-BL,1.00265
ILS-BL,1.02601
ILS-BL,1.02114
ILS-BL,1.03287
ILS-ES,1.0855
ILS-ES,1.06238
ILS-ES,1.08809
ILS-ES,1.10986
ILS-ES,1.0809
ILS-ES,1.01781
ILS-ES,1.06383
ILS-ES,1.00157
ILS-ES,1.03757
ILS-ES,1.0708
